ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2023-05-12,144412.80688415744,64346.011256230464,222860.10362126894,101698.81699634557,0.3125630939622485,0.10744169222269538
2023-05-13,30884.54034164146,0.0,105719.23637498847,101713.44683460992,-0.8075477062304762,0.11119035430493335
2023-05-14,56669.890393057154,0.0,137648.840017567,101728.07667287426,-0.5569768509349147,0.1140491189508512
2023-05-15,156722.60278907153,81037.15160049508,230286.80878148242,101742.70651113862,0.4243581826681645,0.11602351311377157
2023-05-16,123063.98978730042,43981.943457315436,207074.79336766046,101757.33634940296,0.09225433565137614,0.11713256658373214
2023-05-17,131770.84080095877,62181.51035097484,217693.07693133812,101771.9661876673,0.17735825488090312,0.11740734449814014
2023-05-18,150123.01038825006,66634.33641587474,229574.32801354514,101786.59602593166,0.3579906899995337,0.11688926718072179
2023-05-19,145391.6324818698,63579.69395681475,224326.49730538364,101801.22586496461,0.3125630939613763,0.11562827845614422
2023-05-20,31169.21573583429,0.0,109441.47873459168,101815.85570399756,-0.8075477062283011,0.11368092605263252
2023-05-21,56427.48654008516,0.0,131701.60722006232,101830.48554303049,-0.5569768509333936,0.11110841810775024
2023-05-22,156060.621087826,78833.61897886466,234204.38038167427,101845.11538206342,0.42435818266871955,0.10797471815207729
2023-05-23,121885.27670741864,45654.81293040823,200587.54520321824,101859.74522109638,0.09225433565146124,0.10434473734695351
2023-05-24,130158.87152090776,50771.86253016751,205505.78469725195,101874.37506012931,0.1773582548810245,0.10028267733656308
2023-05-25,148130.43926747784,68971.72278221573,228561.4706448758,101889.00489916226,0.3579906899998866,0.09585057004657181
2023-05-26,143039.08988442976,61693.06635380979,218811.61544514558,101903.63473819521,0.3125630939642854,0.09110705236481595
2023-05-27,28390.219077227735,0.0,103709.71714116217,101918.26457722814,-0.8075477062284876,0.08610640417133926
2023-05-28,53404.78571129045,0.0,131460.7671276228,101932.89441626109,-0.5569768509340786,0.08089786796320882
2023-05-29,153444.3518957888,73722.45107198837,233758.09778869236,101947.52425529403,0.4243581826683515,0.0755252576931736
